Participant,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15
Benchmark - Wind,0.08429,0.07592,0.07872,0.07536,0.07389,0.08195,0.07897,0.08425,0.07694,0.09949,0.11871,0.09958,0.09583,0.07614,0.07936
C3 Green Team,,,,0.03941,0.04306,0.03921,0.03199,0.03903,0.03302,0.03797,0.03747,0.04071,0.04235,0.0401,0.03975
E.S. Mangalova,,,,0.03721,0.04124,0.04064,0.03196,0.04006,0.03237,0.03761,0.03761,0.03945,0.04177,0.04024,0.03956
Jiali Liu,0.08399,0.07572,0.05102,0.04483,0.04649,0.04784,0.03986,0.04714,0.03863,0.04724,0.04672,0.0518,0.05208,0.04865,0.04763
Jérôme Collet,,0.04494,0.04268,0.04021,0.04386,0.04423,0.03463,0.04578,0.03728,0.04057,0.04343,0.04654,0.04653,0.04306,0.07773
Manuel Oviedo de la Fuente,,,,0.05541,0.04507,0.05719,0.04224,0.04785,0.13666,0.06375,0.07277,0.06486,0.06328,0.05276,0.05335
Onverrabien,,,0.04331,0.04104,0.0426,0.04118,0.03258,0.04045,0.03232,0.03799,0.03902,0.04157,0.04295,0.04073,0.04111
RDS,0.0654,,,0.0552,0.05624,0.07813,0.05422,0.06974,0.06369,0.09915,0.07802,0.07829,0.06735,0.06341,0.05902
UTES,,,0.1129,0.04797,0.04306,0.04853,0.03567,0.0412,0.03585,0.03848,0.07277,0.04106,0.04461,0.04029,0.03976
Yao Zhang,0.03875,0.04133,0.03998,0.03792,0.0408,0.04014,0.03273,0.04018,0.0335,0.03824,0.03829,0.04014,0.0436,0.04176,0.04037
dmlab,,,0.04042,0.03731,0.04121,0.04093,0.03151,0.0396,0.03333,0.03802,0.03902,0.03942,0.04181,0.03942,0.03855
kPower,0.03752,0.03942,0.03901,0.03562,0.0408,0.03888,0.03069,0.03889,0.0319,0.03635,0.0371,0.03879,0.04168,0.03917,0.03915
pat1,0.05141,,0.04297,0.03943,0.04408,0.04305,0.0394,0.04653,0.03783,0.04318,0.04501,0.04847,0.04923,0.05718,0.04348
